route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_type2_id,valid_from,valid_until
1,3," 1","","POŚWIĘTNE - Żmigrodzka - Trzebnicka - pl. Powstańców Wielkopolskich - Słowiańska - Jedności Narodowej - Nowowiejska - Piastowska - Skłodowskiej-Curie - Wróblewskiego - Olszewskiego - BISKUPIN|BISKUPIN - Wróblewskiego - Skłodowskiej-Curie - Piastowska - Nowowiejska - Jedności Narodowej - Słowiańska - pl. Powstańców Wielkopolskich - Trzebnicka - Żmigrodzka - POŚWIĘTNE",0,31,"2018-11-05","2999-01-01"
2,3," 2","","KRZYKI - Karkonoska - pl. Powstańców Śląskich - Powstańców Śl. - Świdnicka - Piłsudskiego - Kołłątaja - Oławska - pl. Powstańców Warszawy - Wyszyńskiego - Szczytnicka - pl. Grunwaldzki - Skłodowskiej-Curie - Wróblewskiego - Olszewskiego - BISKUPIN|BISKUPIN - Wróblewskiego - pl. Grunwaldzki - Skłodowskiej-Curie - Wyszyńskiego - pl. Powstańców Warszawy - Oławska - Piotra Skargi - Kołłątaja - Piłsudskiego - Powstańców Śl. - Karkonoska - KRZYKI",0,31,"2018-11-05","2999-01-01"
3,3," 3","","LEŚNICA - Średzka - Kosmonautów - Lotnicza - Legnicka - Kazimierza Wlk. - Oławska - Traugutta - Krakowska - Opolska - KSIĘŻE MAŁE|KSIĘŻE MAŁE - Krakowska - Traugutta - Oławska - Kazimierza Wlk. - Legnicka - Lotnicza - Kosmonautów - Średzka - LEŚNICA",0,31,"2018-11-05","2999-01-01"
4,3," 4","","BISKUPIN - Olszewskiego - Wróblewskiego - Skłodowskiej-Curie - pl. Grunwaldzki - pl. Powstańców Warszawy - Oławska - Kazimierza Wlk. - Krupnicza - Sądowa - Grabiszyńska - OPORÓW|OPORÓW - Krupnicza - Kazimierza Wlk. - Oławska - pl. Powstańców Warszawy - pl. Grunwaldzki - Skłodowskiej-Curie - Wróblewskiego - Olszewskiego - BISKUPIN",0,31,"2018-11-05","2999-01-01"
5,3," 5","","KSIĘŻE MAŁE - Opolska - Krakowska - Traugutta - Oławska - Piotra Skargi - Kołłątaja - Piłsudskiego - Grabiszyńska - OPORÓW|OPORÓW - Piłsudskiego - Kołłątaja - Oławska - Traugutta - Krakowska - Opolska - KSIĘŻE MAŁE",0,31,"2018-11-05","2999-01-01"
6,3," 6","","KOWALE - Kwidzyńska - Toruńska - Jedności Narodowej - Poniatowskiego - Drobnera - Grodzka - Kazimierza Wlk. - Krupnicza - Podwale - Świdnicka - Powstańców Śl. - Karkonoska - KRZYKI|KRZYKI - pl. Powstańców Śląskich - Powstańców Śl. - Świdnicka - pl. Teatralny - Widok - Szewska - Drobnera - Bema - Poniatowskiego - Jedności Narodowej - Toruńska - Kwidzyńska - KOWALE",0,31,"2018-11-05","2999-01-01"
7,3," 7","","KLECINA - Wałbrzyska - Przyjaźni - Karkonoska - pl. Powstańców Śląskich - Powstańców Śl. - Świdnicka - pl. Teatralny - Widok - Szewska - Drobnera - Chrobrego - pl. Powstańców Wielkopolskich - Trzebnicka - Żmigrodzka - POŚWIĘTNE|POŚWIĘTNE - Trzebnicka - pl. Powstańców Wielkopolskich - Chrobrego - Drobnera - Grodzka - Kazimierza Wlk. - Krupnicza - Podwale - Świdnicka - Powstańców Śl. - Karkonoska - Przyjaźni - Wałbrzyska - KLECINA",0,31,"2018-11-05","2999-01-01"
8,3," 8","","TARNOGAJ - Tarnogajska - Armii Krajowej - Bardzka - Hubska - Gliniana - Borowska - Peronowa - Kołłątaja - Św. Katarzyny - Piaskowa - Bema - Poniatowskiego - Słowiańska - pl. Powstańców Wielkopolskich - Trzebnicka - Żmigrodzka - KARŁOWICE|KARŁOWICE - Trzebnicka - pl. Powstańców Wielkopolskich - Słowiańska - Poniatowskiego - pl. Bema - Piaskowa - Św. Katarzyny - Piotra Skargi - Kołłątaja - Peronowa - Borowska - Gliniana - Hubska - Bardzka - Armii Krajowej - Tarnogajska - TARNOGAJ",0,31,"2018-11-05","2999-01-01"
9,3," 9","","SĘPOLNO - Mickiewicza - Paderewskiego - Różyckiego - Kochanowskiego - Grunwaldzka - Sienkiewicza - pl. Bema - Piaskowa - Św. Katarzyny - Piotra Skargi - Kołłątaja - Peronowa - Borowska - Ślężna - Kamienna - UNIWERSYTET EKONOMICZNY|UNIWERSYTET EKONOMICZNY - Ślężna - Borowska - Peronowa - Kołłątaja - Św. Katarzyny - Piaskowa - Sienkiewicza - Kochanowskiego - Różyckiego - Paderewskiego - Mickiewicza - SĘPOLNO",0,31,"2018-11-05","2999-01-01"
A,2,"A","","KOSZAROWA (SZPITAL) - Koszarowa - Przybyszewskiego - Berenta - al. M. Kromera - Wyszyńskiego - pl. Powstańców Warszawy - Oławska - Podwale - Świdnicka - Krucza - Inżynierska - Hallera - Grabiszyńska - Solskiego - Aleja Piastów - Racławicka - RACŁAWICKA|RACŁAWICKA - Aleja Piastów - Solskiego - Grabiszyńska - Hallera - Aleja Pracy - Inżynierska - Krucza - Wielka - Świdnicka - Kościuszki - Krasińskiego - pl. Powstańców Warszawy - Wyszyńskiego - Boya-Żeleńskiego - Berenta - Czajkowskiego - Koszarowa - KOSZAROWA (SZPITAL)",3,35,"2018-10-13","2999-01-01"
